"Scenario","Year","share_LFP","Ni_Co_ratio","Cobalt","Copper","Lithium","Nickel","ev_Cobalt","ev_Copper","ev_Lithium","ev_Nickel"
"SPS_x0.85",2033,0.558858574548862,9.23018029177567,274.407721777639,27300.839245769,508.891464296947,2249.95364082662,121.405504634398,1799.6351184346,384.881277033986,1120.5946961895
"SPS_x0.85",2034,0.559843404923143,10.0756277099929,276.868064267218,27514.6082786808,549.522187406643,2359.5656614834,121.332605561277,1947.19371781668,420.822049433574,1222.50216271885
"SPS_x0.85",2035,0.560673250860678,10.9220916626378,279.328406756798,27728.3773115926,590.152910516339,2469.17768214018,121.259706488157,2094.75231719876,456.762821833162,1324.4096292482
"SPS_x0.85",2036,0.576328319953822,11.4314540949529,279.528390524777,27977.6300246504,629.803906267888,2548.36147743582,120.085844490216,2184.81920700309,490.930396498455,1372.75581874356
"SPS_x0.85",2037,0.589946071169143,11.9508730613522,279.728374292756,28226.8827377082,669.454902019436,2627.54527273146,118.911982492276,2274.88609680741,525.097971163749,1421.10200823893
"SPS_x0.85",2038,0.601899906075322,12.480649356085,279.928358060735,28476.135450766,709.105897770985,2706.7290680271,117.738120494336,2364.95298661174,559.265545829042,1469.44819773429
"SPS_x0.85",2039,0.612477230191699,13.0210958900116,280.128341828713,28725.3881638238,748.756893522534,2785.91286332274,116.564258496395,2455.01987641607,593.433120494336,1517.79438722966
"SPS_x0.85",2040,0.621902861793097,13.5725383069118,280.328325596692,28974.6408768816,788.407889274082,2865.09665861838,115.390396498455,2545.08676622039,627.600695159629,1566.14057672503
"SPS_x0.85",2041,0.625441763031324,13.4075870756404,286.471370286577,29276.0568633017,812.619402399846,2907.10266401793,119.51947476828,2587.2271884655,648.22535530381,1602.46776519053
"SPS_x0.85",2042,0.628762413141088,13.2536524964509,292.614414976462,29577.4728497218,836.830915525609,2949.10866941747,123.648553038105,2629.36761071061,668.850015447992,1638.79495365602
"SPS_x0.85",2043,0.631884398144225,13.1096665744622,298.757459666347,29878.888836142,861.042428651373,2991.11467481702,127.77763130793,2671.50803295572,689.474675592173,1675.12214212152
"SPS_x0.85",2044,0.634825028577869,12.9746950406505,304.900504356233,30180.3048225621,885.253941777136,3033.12068021657,131.906709577755,2713.64845520082,710.099335736354,1711.44933058702
"SPS_x0.85",2045,0.637599660621845,12.8479170570233,311.043549046118,30481.7208089822,909.4654549029,3075.12668561612,136.03578784758,2755.78887744593,730.723995880535,1747.77651905252
